letter	Wutai	Eastern	Dawu	Dona	Wanshan	Maolin
tr	NA	ʈ	NA	NA	NA	NA
dr	ɖ	ɖ	ɖ	ɖ	NA	ɖ
th	θ	θ	θ	θ	NA	θ
dh	ð	ð	ð	ð	ð	ð
ng	ŋ	ŋ	ŋ	ŋ	ŋ	ŋ
lr	ɭ	ɭ	ɭ	ɭ	ɭ	ɭ
_	NA	NA	NA	NA	NA	
p	p	p	p	p	p	p
b	b	b	b	b	NA	b
t	t	t	t	t	t	t
d	d	d	d	d	NA	d
k	k	k	k	k	k	k
g	g	g	g	g	NA	g
'	NA	NA	NA	ʔ	ʔ	NA
c	ʦ	ʦ	ʦ	ʦ	ʦ	ʦ
v	v	v	v	v	v	v
s	s	s	s	s	s	s
z	z	z	z	z	z	z
h	h	h	h	h	h	h
m	m	m	m	m	m	m
n	n	n	n	n	n	n
l	l	l	l	l	l	l
r	r	r	r	r	r	r
w	w	w	w	w	w	w
y	j	j	j	j	j	j
i	i	i	i	i	i	i
é	NA	NA	NA	NA	NA	e
ɨ	NA	NA	NA	NA	NA	ɨ
e	ə	ə	ə	ə	ə	ə
a	a	a	a	a	a	a
u	u	NA	u	NA	NA	u
o	NA	o	NA	o	o	o
